Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
Fruit flavored drink,N/A,2710573,0.0,0.0,16.0,64.0,15.8,0.0,3.0,0.0,1.0,0.0,31.0,36.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, diet",N/A,2710597,0.01,0.0,1.45,4.0,0.0,0.0,20.0,0.0,1.0,21.0,8.0,11.0,0.01,0.01,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, powdered, not reconstituted",N/A,2710613,0.0,1.01,97.9,380.0,97.2,0.0,11.0,0.17,165.0,99.0,39.0,130.0,0.03,0.025,0.3,0.0,0.08,0.0,40.6,0.002,0.011,0.0,0.0,0.0,0.0,1.9,0.0,0.183,0.0,0.129,0.531
"Fruit flavored drink, powdered, not reconstituted, diet",N/A,2710614,0.45,0.04,87.4,218.0,0.0,0.1,1050.0,0.08,3.0,1240.0,498.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, powdered, reconstituted",N/A,2710583,0.0,0.07,6.55,25.0,6.5,0.0,4.0,0.01,12.0,7.0,3.0,12.0,0.01,0.011,0.0,0.0,0.0,0.0,2.7,0.0,0.001,0.0,0.0,0.0,0.0,0.1,0.0,0.012,0.0,0.009,0.036
"Fruit flavored drink, powdered, reconstituted, diet",N/A,2710599,0.0,0.0,0.73,2.0,0.0,0.0,12.0,0.0,1.0,10.0,4.0,7.0,0.01,0.01,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, with high vitamin C",N/A,2710578,0.0,0.0,6.67,27.0,5.0,0.0,3.0,0.0,1.0,0.0,31.0,36.0,0.0,0.009,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, with high vitamin C, diet",N/A,2710596,0.0,0.0,0.87,2.0,0.0,0.0,13.0,0.0,1.0,12.0,5.0,8.0,0.01,0.01,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",N/A,2710612,0.0,0.0,98.9,386.0,92.3,0.4,385.0,0.02,0.0,151.0,190.0,17.0,0.01,0.013,0.5,599.0,0.0,0.0,231.0,0.001,0.68,8.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, with high vitamin C, powdered, reconstituted",N/A,2710584,0.0,0.0,10.4,41.0,9.75,0.0,43.0,0.0,1.0,16.0,20.0,5.0,0.01,0.01,0.1,63.0,0.0,0.0,24.4,0.0,0.072,0.845,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit flavored drink, with high vitamin C, powdered, reconstituted, diet",N/A,2710598,0.0,0.0,0.87,2.0,0.0,0.0,13.0,0.0,1.0,12.0,5.0,8.0,0.01,0.01,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit juice blend, 100% juice",N/A,2709316,0.16,0.12,12.5,50.0,10.9,0.2,11.0,0.11,7.0,9.0,96.0,7.0,0.05,0.01,0.1,0.0,0.01,0.0,28.2,0.006,0.015,0.087,0.021,0.0,0.0,0.2,0.0,0.023,0.0,0.005,0.032
"Fruit juice blend, citrus, 100% juice",N/A,2709194,0.77,0.34,10.2,47.0,8.18,0.3,11.0,0.06,10.0,18.0,182.0,2.0,0.03,0.034,0.1,2.0,0.2,0.0,28.7,0.073,0.039,0.034,0.042,30.0,0.0,0.0,0.0,0.014,0.0,0.022,0.03
Fruit juice drink,N/A,2710567,0.0,0.0,2.5,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit juice drink (Capri Sun),N/A,2710600,0.0,0.07,10.0,39.0,9.0,0.0,5.0,0.04,2.0,1.0,11.0,2.0,0.02,0.0,0.2,0.0,0.68,0.0,0.0,0.0,0.0,0.015,0.0,1.0,0.0,0.0,0.0,0.008,0.0,0.012,0.014
Fruit juice drink (Sunny D),N/A,2710582,0.13,0.0,13.2,54.0,12.1,0.1,3.0,0.25,5.0,7.0,122.0,61.0,0.04,0.013,0.1,5.0,0.05,0.0,25.4,0.095,0.014,0.036,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit juice drink, added calcium (Sunny D)",N/A,2710601,0.0,0.0,13.2,53.0,8.02,0.1,100.0,0.05,5.0,7.0,83.0,54.0,0.05,0.027,0.0,21.0,0.04,0.0,24.0,0.12,0.01,0.09,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit juice drink, citrus, carbonated",N/A,2710565,0.46,0.24,7.16,32.0,5.99,0.2,10.0,0.06,7.0,12.0,118.0,7.0,0.05,0.02,0.1,4.0,0.16,0.0,22.9,0.032,0.015,0.125,0.016,15.0,0.0,0.0,0.0,0.037,0.0,0.044,0.077
"Fruit juice drink, diet",N/A,2710587,0.0,0.0,0.47,1.0,0.0,0.0,9.0,0.0,1.0,7.0,4.0,5.0,0.0,0.009,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fruit juice drink, light",N/A,2710586,0.0,0.07,10.0,39.0,9.0,0.0,5.0,0.04,2.0,1.0,11.0,2.0,0.02,0.0,0.2,0.0,0.68,0.0,0.0,0.0,0.0,0.015,0.0,1.0,0.0,0.0,0.0,0.008,0.0,0.012,0.014
"Fruit juice drink, noncitrus, carbonated",N/A,2710566,0.07,0.18,7.74,33.0,6.38,0.1,7.0,0.06,4.0,6.0,35.0,12.0,0.06,0.009,0.0,0.0,0.24,0.0,20.2,0.009,0.01,0.006,0.012,2.0,0.0,1.2,0.0,0.012,0.0,0.006,0.023
"Fruit juice drink, with high vitamin C",N/A,2710580,0.13,0.11,11.4,46.0,10.7,0.1,3.0,0.25,5.0,7.0,122.0,8.0,0.04,0.013,0.1,5.0,0.05,0.0,25.0,0.003,0.014,0.036,0.032,0.0,0.0,0.0,0.0,0.017,0.0,0.002,0.03
"Fruit juice drink, with high vitamin C, light",N/A,2710585,0.1,0.0,4.7,19.0,4.6,0.1,10.0,0.06,3.0,1.0,45.0,5.0,0.02,0.007,0.1,0.0,0.27,0.0,32.0,0.003,0.007,0.028,0.019,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
"Fruit juice, NFS",N/A,2709315,0.29,0.26,12.1,51.0,10.4,0.2,21.0,0.08,7.0,11.0,104.0,5.0,0.03,0.015,0.1,1.0,0.13,0.1,34.7,0.025,0.022,0.035,0.025,9.0,0.0,0.5,0.0,0.02,0.0,0.01,0.033
"Fruit juice, acai blend",N/A,2710777,0.83,0.83,12.8,62.0,11.1,1.2,19.0,0.16,11.0,13.0,130.0,13.0,0.11,0.076,0.0,485.0,11.1,0.0,42.1,0.03,0.04,9.06,1.1,4.0,3.4,16.7,0.0,0.0,0.0,0.0,0.0
"Fruit mixture, frozen",N/A,2709292,0.69,0.23,11.3,48.0,9.18,1.4,10.0,0.34,11.0,14.0,146.0,9.0,0.2,0.084,1.0,63.0,0.4,0.0,30.2,0.037,0.033,0.572,0.064,20.0,0.0,2.6,0.0,0.035,0.0,0.048,0.066
"Fruit nectar, NFS",N/A,2709340,0.11,0.06,13.1,51.0,12.4,0.3,17.0,0.36,3.0,2.0,24.0,5.0,0.02,0.015,0.4,35.0,0.21,0.0,15.2,0.003,0.003,0.08,0.015,7.0,0.0,0.8,0.0,0.014,0.0,0.022,0.011
"Fruit punch, alcoholic",N/A,2710674,0.14,0.04,8.14,90.0,7.11,0.1,6.0,0.19,5.0,4.0,50.0,4.0,0.07,0.038,0.1,0.0,0.01,0.0,3.8,0.023,0.009,0.078,0.038,7.0,0.0,0.1,0.0,0.003,0.0,0.005,0.016
"Fruit punch, made with fruit juice and soda",N/A,2710569,0.18,0.06,10.8,44.0,9.44,0.1,8.0,0.24,6.0,4.0,66.0,4.0,0.08,0.044,0.1,0.0,0.01,0.0,5.0,0.029,0.01,0.1,0.05,9.0,0.0,0.2,0.0,0.004,0.0,0.007,0.021
"Fruit salad, excluding citrus fruits, with marshmallows",N/A,2709299,1.78,19.5,17.5,251.0,12.7,1.4,14.0,0.28,21.0,42.0,171.0,124.0,0.31,0.153,0.9,5.0,0.74,0.0,15.9,0.054,0.034,0.309,0.132,16.0,0.02,32.8,8.0,2.69,0.0,3.9,12.2
"Fruit salad, excluding citrus fruits, with nondairy whipped topping",N/A,2709298,1.93,8.67,17.3,153.0,13.1,1.7,16.0,0.28,25.0,47.0,205.0,3.0,0.34,0.178,0.7,3.0,0.23,0.0,19.4,0.064,0.037,0.372,0.159,18.0,0.0,3.4,0.0,2.3,0.0,1.04,4.69
"Fruit salad, excluding citrus fruits, with pudding",N/A,2709301,1.86,6.48,18.1,137.0,13.3,1.4,24.0,0.25,22.0,48.0,186.0,40.0,0.32,0.152,0.4,2.0,0.2,0.0,16.3,0.058,0.047,0.325,0.138,15.0,0.03,2.6,0.0,0.739,0.0,1.28,3.92
"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",N/A,2709296,1.78,20.7,13.6,247.0,9.93,1.5,15.0,0.28,22.0,44.0,181.0,127.0,0.32,0.157,0.9,5.0,0.79,0.0,16.9,0.058,0.036,0.323,0.14,17.0,0.02,34.9,8.0,2.85,0.0,4.14,12.9
"Fruit salad, excluding citrus fruits, with whipped cream",N/A,2709297,1.99,10.6,15.2,164.0,11.1,1.6,22.0,0.26,25.0,51.0,206.0,3.0,0.35,0.168,0.8,41.0,0.26,0.2,18.6,0.065,0.058,0.363,0.156,18.0,0.0,3.1,12.0,3.0,0.001,1.74,4.63
"Fruit salad, fresh or raw, excluding citrus fruits, no dressing",N/A,2709287,0.64,0.21,13.9,59.0,10.4,1.5,9.0,0.18,14.0,19.0,190.0,4.0,0.14,0.06,0.3,31.0,0.16,0.0,19.7,0.04,0.024,0.378,0.084,8.0,0.0,3.2,0.0,0.045,0.0,0.014,0.047
"Fruit salad, fresh or raw, including citrus fruits, no dressing",N/A,2709288,0.71,0.19,13.5,56.0,10.2,1.7,16.0,0.16,13.0,18.0,188.0,4.0,0.12,0.057,0.4,27.0,0.16,0.0,26.7,0.05,0.027,0.358,0.079,12.0,0.0,2.5,0.0,0.039,0.0,0.016,0.043
"Fruit salad, including citrus fruit, with whipped cream",N/A,2709303,2.08,10.4,14.6,158.0,10.6,2.0,29.0,0.27,24.0,52.0,216.0,3.0,0.33,0.154,0.9,42.0,0.3,0.2,18.1,0.071,0.06,0.374,0.142,21.0,0.0,2.9,12.0,2.94,0.001,1.71,4.53
"Fruit salad, including citrus fruits, with marshmallows",N/A,2709305,1.87,19.1,17.0,244.0,12.2,1.7,20.0,0.28,20.0,43.0,180.0,122.0,0.29,0.141,1.0,6.0,0.76,0.0,15.5,0.06,0.036,0.319,0.12,18.0,0.02,32.1,8.0,2.64,0.0,3.83,11.9
"Fruit salad, including citrus fruits, with nondairy whipped topping",N/A,2709304,2.03,8.45,16.6,148.0,12.5,2.1,23.0,0.29,24.0,48.0,216.0,3.0,0.32,0.163,0.8,5.0,0.27,0.0,18.8,0.071,0.039,0.383,0.144,21.0,0.0,3.1,0.0,2.25,0.0,1.02,4.58
"Fruit salad, including citrus fruits, with pudding",N/A,2709300,1.95,6.34,17.5,133.0,12.8,1.8,30.0,0.26,21.0,49.0,195.0,39.0,0.3,0.139,0.5,4.0,0.23,0.0,15.9,0.064,0.049,0.335,0.126,18.0,0.03,2.4,0.0,0.727,0.0,1.26,3.84
"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",N/A,2709302,1.87,20.3,13.0,240.0,9.46,1.8,21.0,0.28,21.0,46.0,191.0,124.0,0.31,0.144,1.0,7.0,0.81,0.0,16.4,0.063,0.038,0.334,0.127,19.0,0.02,34.0,8.0,2.8,0.0,4.06,12.7
"Fruit smoothie juice drink, no dairy",N/A,2709337,0.6,0.24,11.9,51.0,8.35,1.0,30.0,0.22,13.0,16.0,184.0,2.0,0.08,0.049,0.2,2.0,0.18,0.2,25.7,0.049,0.027,0.271,0.069,20.0,0.0,0.6,0.0,0.031,0.0,0.02,0.042
"Fruit smoothie juice drink, with dairy",N/A,2705516,0.86,0.14,15.0,65.0,12.7,0.9,20.0,0.14,11.0,11.0,131.0,14.0,0.09,0.038,0.3,2.0,0.03,0.0,5.2,0.023,0.028,0.217,0.108,8.0,0.0,0.3,1.0,0.0,0.0,0.049,0.052
"Fruit smoothie, NFS",N/A,2705513,2.32,1.1,12.0,66.0,8.91,1.1,80.0,0.19,14.0,67.0,174.0,28.0,0.37,0.034,1.5,20.0,0.16,0.6,9.5,0.042,0.1,0.31,0.071,9.0,0.28,3.3,4.0,0.588,0.0,0.243,0.095
"Fruit smoothie, bottled",N/A,2709339,0.48,0.27,11.7,50.0,10.0,0.6,10.0,0.2,14.0,18.0,201.0,2.0,0.08,0.04,0.4,2.0,0.13,0.0,8.4,0.04,0.057,0.31,0.115,35.0,0.0,2.1,0.0,0.061,0.0,0.016,0.029
"Fruit smoothie, light",N/A,2709338,2.61,0.61,9.71,53.0,7.47,1.0,91.0,0.17,14.0,75.0,184.0,31.0,0.42,0.031,1.6,22.0,0.15,0.3,8.9,0.043,0.106,0.309,0.07,9.0,0.31,3.1,2.0,0.315,0.0,0.144,0.078
"Fruit smoothie, with whole fruit and dairy",N/A,2705514,2.32,1.1,12.0,66.0,8.91,1.1,80.0,0.19,14.0,67.0,174.0,28.0,0.37,0.034,1.5,20.0,0.16,0.6,9.5,0.042,0.1,0.31,0.071,9.0,0.28,3.3,4.0,0.588,0.0,0.243,0.095
"Fruit smoothie, with whole fruit and dairy, added protein",N/A,2705515,7.35,1.24,10.0,79.0,7.36,1.1,115.0,0.28,23.0,153.0,173.0,40.0,0.77,0.025,3.3,21.0,0.16,0.7,8.5,0.076,0.236,0.312,0.085,10.0,0.45,3.5,5.0,0.669,0.0,0.268,0.111
"Fruit smoothie, with whole fruit, no dairy",N/A,2709334,0.61,0.35,12.7,54.0,8.78,1.5,27.0,0.23,12.0,16.0,171.0,2.0,0.08,0.049,0.2,2.0,0.27,0.1,22.7,0.049,0.031,0.351,0.072,19.0,0.0,4.2,0.0,0.038,0.0,0.038,0.099
"Fruit smoothie, with whole fruit, no dairy, added protein",N/A,2709335,6.23,0.44,12.2,76.0,8.14,1.6,59.0,0.3,26.0,111.0,195.0,13.0,0.53,0.049,2.1,2.0,0.25,0.1,21.0,0.09,0.175,0.408,0.111,20.0,0.18,3.9,1.0,0.092,0.0,0.046,0.114
"Fruit smoothie, with whole fruit, non-dairy",N/A,2709336,1.45,1.06,11.6,60.0,5.17,1.1,77.0,0.52,19.0,26.0,104.0,23.0,0.19,0.057,3.6,11.0,0.79,0.3,9.6,0.037,0.028,0.342,0.051,9.0,0.1,4.3,0.0,0.135,0.0,0.339,0.465
"Fruit, NFS",N/A,2709213,0.68,0.21,16.2,68.0,12.0,1.8,13.0,0.12,14.0,18.0,206.0,1.0,0.09,0.061,0.2,5.0,0.18,0.0,19.8,0.05,0.026,0.356,0.101,11.0,0.0,3.8,0.0,0.052,0.0,0.02,0.053
"Fruit, chocolate covered",N/A,2709295,1.41,6.69,20.1,133.0,15.6,2.7,20.0,0.88,35.0,47.0,205.0,2.0,0.44,0.18,1.2,1.0,0.28,0.0,46.6,0.032,0.032,0.395,0.035,9.0,0.0,2.9,0.0,3.86,0.0,2.17,0.21
"Fruit, pickled",N/A,2709214,0.56,0.24,15.3,63.0,13.7,1.4,7.0,0.17,6.0,13.0,103.0,957.0,0.1,0.052,0.6,17.0,0.43,0.0,9.0,0.016,0.025,0.369,0.042,7.0,0.0,3.3,0.0,0.032,0.0,0.072,0.052
Fry sauce,N/A,2710176,0.98,56.2,7.28,535.0,5.74,0.1,10.0,0.24,4.0,22.0,85.0,481.0,0.16,0.036,1.9,18.0,2.82,0.2,1.0,0.01,0.056,0.358,0.046,6.0,0.09,123.0,32.0,8.78,0.0,12.6,33.5
Fudgesicle,N/A,2705674,2.56,3.67,30.0,163.0,17.5,1.0,162.0,1.11,19.0,112.0,177.0,104.0,0.39,0.077,1.3,0.0,0.21,0.0,0.0,0.049,0.163,0.122,0.04,4.0,0.05,0.1,1.0,2.7,0.0,0.584,0.138
"Fudgesicle, light",N/A,2705678,3.67,1.87,23.1,124.0,5.1,1.5,231.0,1.58,27.0,160.0,253.0,96.0,0.55,0.107,1.7,0.0,0.3,0.0,0.0,0.07,0.23,0.175,0.058,6.0,0.07,0.1,2.0,0.984,0.0,0.649,0.149
Fufu,N/A,2709568,1.5,2.99,33.6,166.0,1.1,3.1,31.0,0.43,28.0,58.0,449.0,143.0,0.3,0.142,0.7,15.0,1.75,0.0,11.1,0.085,0.036,0.719,0.191,22.0,0.0,3.8,2.0,0.776,0.0,1.02,0.853
Funnel cake with sugar,N/A,2708349,7.87,16.6,43.5,353.0,15.9,1.0,138.0,2.31,19.0,149.0,174.0,278.0,0.72,0.056,11.3,65.0,2.69,1.1,0.0,0.292,0.293,2.21,0.067,45.0,0.42,13.5,64.0,3.12,0.0,6.44,5.51
Funnel cake with sugar and fruit,N/A,2708350,5.84,15.7,55.2,380.0,21.3,0.9,103.0,1.8,16.0,111.0,146.0,211.0,0.55,0.052,8.6,48.0,2.68,0.8,4.8,0.218,0.223,1.68,0.053,35.0,0.31,13.7,47.0,2.76,0.0,6.22,5.41
Fuzzy Navel,N/A,2710680,0.57,0.28,16.2,107.0,14.7,0.2,42.0,0.06,8.0,14.0,135.0,2.0,0.03,0.029,0.1,1.0,0.15,0.3,21.2,0.055,0.031,0.027,0.031,22.0,0.0,0.0,0.0,0.01,0.0,0.016,0.022
"Garlic bread, NFS",N/A,2707626,8.34,16.6,41.6,349.0,3.68,2.5,27.0,3.04,23.0,87.0,103.0,620.0,0.87,0.108,16.6,13.0,1.18,0.2,0.2,0.438,0.184,4.13,0.083,167.0,0.08,29.4,0.0,5.27,0.002,4.66,5.43
"Garlic bread, from fast food / restaurant",N/A,2707627,8.34,16.6,41.6,349.0,3.68,2.5,27.0,3.04,23.0,87.0,103.0,620.0,0.87,0.108,16.6,13.0,1.18,0.2,0.2,0.438,0.184,4.13,0.083,167.0,0.08,29.4,0.0,5.27,0.002,4.66,5.43
"Garlic bread, from frozen",N/A,2707628,8.36,16.6,41.7,350.0,3.69,2.5,27.0,3.05,23.0,87.0,103.0,544.0,0.87,0.108,16.6,13.0,1.18,0.2,0.2,0.439,0.184,4.14,0.083,167.0,0.08,29.5,0.0,5.28,0.002,4.67,5.44
"Garlic bread, with melted cheese, from fast food / restaurant",N/A,2707631,11.4,17.3,34.2,339.0,3.31,2.0,160.0,2.48,24.0,176.0,105.0,636.0,1.42,0.093,18.6,51.0,1.04,0.2,0.2,0.355,0.219,3.33,0.083,139.0,0.38,23.8,13.0,6.55,0.003,4.66,4.49
"Garlic bread, with melted cheese, from frozen",N/A,2707632,10.4,17.1,36.9,343.0,3.44,2.2,114.0,2.68,24.0,145.0,105.0,564.0,1.23,0.098,17.9,38.0,1.09,0.2,0.2,0.385,0.207,3.62,0.083,149.0,0.27,25.8,8.0,6.12,0.003,4.67,4.82
"Garlic bread, with parmesan cheese, from fast food / restaurant",N/A,2707629,8.76,16.8,41.1,351.0,3.61,2.4,44.0,2.99,23.0,98.0,104.0,642.0,0.94,0.106,16.9,17.0,1.16,0.2,0.2,0.43,0.187,4.05,0.083,164.0,0.1,28.9,2.0,5.47,0.002,4.69,5.34
"Garlic bread, with parmesan cheese, from frozen",N/A,2707630,8.78,16.8,41.1,351.0,3.62,2.5,44.0,3.0,23.0,98.0,105.0,568.0,0.94,0.107,17.0,17.0,1.17,0.2,0.2,0.431,0.187,4.06,0.083,164.0,0.1,29.0,2.0,5.48,0.002,4.7,5.35
Garlic sauce,N/A,2710169,1.43,74.0,2.87,683.0,0.62,0.3,37.0,0.22,4.0,35.0,61.0,473.0,0.18,0.035,1.0,682.0,0.01,0.4,1.0,0.024,0.011,0.07,0.124,5.0,0.0,6.5,212.0,41.0,0.022,15.2,2.29
"Garlic, cooked",N/A,2709932,6.58,0.38,28.0,142.0,0.99,2.7,180.0,1.69,25.0,152.0,399.0,248.0,1.15,0.297,9.7,0.0,0.08,0.0,8.0,0.179,0.104,0.661,1.17,2.0,0.0,1.7,0.0,0.088,0.0,0.011,0.248
"Garlic, raw",N/A,2709786,6.62,0.38,28.2,143.0,1.0,2.7,181.0,1.7,25.0,153.0,401.0,17.0,1.16,0.299,9.8,0.0,0.08,0.0,10.0,0.2,0.11,0.7,1.24,3.0,0.0,1.7,0.0,0.089,0.0,0.011,0.249
Gefilte fish,N/A,2706551,10.4,0.41,8.74,82.0,0.5,0.4,10.0,0.68,16.0,183.0,171.0,453.0,0.28,0.035,15.4,1.0,0.33,0.3,0.5,0.115,0.072,1.35,0.083,21.0,1.07,0.1,28.0,0.07,0.02,0.055,0.147
Gelatin dessert,N/A,2710310,1.22,0.0,14.2,60.0,13.5,0.0,3.0,0.02,1.0,22.0,1.0,75.0,0.01,0.024,1.1,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelatin dessert with fruit,N/A,2710311,1.1,0.01,13.3,56.0,12.6,0.2,3.0,0.05,2.0,20.0,15.0,64.0,0.02,0.031,1.0,2.0,0.06,0.0,0.3,0.002,0.007,0.055,0.008,1.0,0.0,0.4,0.0,0.001,0.0,0.001,0.003
"Gelatin dessert, sugar free",N/A,2710313,0.83,0.0,4.22,20.0,0.0,0.0,3.0,0.01,1.0,68.0,1.0,48.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gelatin dessert, sugar free, with fruit",N/A,2710314,0.77,0.01,4.86,22.0,1.13,0.2,3.0,0.05,2.0,59.0,15.0,41.0,0.01,0.017,0.1,2.0,0.06,0.0,0.3,0.002,0.002,0.054,0.008,0.0,0.0,0.4,0.0,0.001,0.0,0.001,0.003
Gelatin salad with vegetables,N/A,2710312,1.47,0.02,14.0,61.0,11.9,0.7,6.0,0.14,4.0,26.0,26.0,69.0,0.08,0.033,1.0,32.0,0.06,0.0,0.5,0.011,0.023,0.128,0.011,4.0,0.0,3.5,0.0,0.005,0.0,0.002,0.011
"Gelatin shot, alcoholic",N/A,2710631,0.24,0.0,2.8,102.0,2.66,0.0,2.0,0.02,1.0,6.0,1.0,17.0,0.02,0.017,0.2,0.0,0.0,0.0,0.0,0.002,0.003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gelato, chocolate",N/A,2705637,4.72,17.0,19.8,251.0,17.4,0.9,142.0,1.02,32.0,115.0,238.0,57.0,0.64,0.175,2.1,201.0,0.46,0.3,0.5,0.03,0.167,0.182,0.033,5.0,0.18,1.5,60.0,10.4,0.0,4.79,0.658
"Gelato, vanilla",N/A,2705636,3.5,16.2,22.3,249.0,20.6,0.0,117.0,0.34,11.0,105.0,157.0,61.0,0.47,0.008,3.5,182.0,0.51,0.3,0.0,0.041,0.167,0.082,0.045,8.0,0.39,1.3,92.0,10.3,0.001,4.46,0.68
General Tso chicken,N/A,2706794,12.9,16.4,24.0,295.0,11.6,0.9,12.0,1.16,18.0,127.0,201.0,435.0,1.3,0.046,14.4,11.0,1.21,0.2,1.6,0.027,0.118,2.85,0.202,11.0,0.22,38.2,53.0,2.76,0.005,3.88,7.5
"Ghee, clarified butter",N/A,2710168,0.28,99.5,0.0,876.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,2.0,0.01,0.001,0.0,840.0,2.8,0.0,0.0,0.001,0.005,0.003,0.001,0.0,0.01,8.6,256.0,61.9,0.0,28.7,3.69
Gimlet,N/A,2710632,0.1,0.03,5.08,188.0,3.52,0.1,3.0,0.05,2.0,6.0,29.0,1.0,0.05,0.022,0.0,0.0,0.05,0.0,7.0,0.01,0.007,0.043,0.01,2.0,0.0,0.1,0.0,0.002,0.0,0.002,0.005
Gin,N/A,2710702,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.013,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gin and tonic,N/A,2710633,0.0,0.0,6.57,84.0,6.57,0.0,1.0,0.02,0.0,1.0,1.0,9.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gin fizz,N/A,2710685,0.03,0.01,2.22,66.0,1.95,0.0,4.0,0.02,1.0,2.0,9.0,16.0,0.09,0.011,0.0,0.0,0.02,0.0,1.0,0.003,0.003,0.016,0.003,1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001
"Ginger root, pickled",N/A,2710082,0.33,0.1,4.83,20.0,0.0,2.6,74.0,0.28,4.0,2.0,36.0,906.0,0.04,0.018,0.4,0.0,0.18,0.0,0.0,0.02,0.015,0.022,0.037,1.0,0.0,2.2,0.0,0.037,0.0,0.02,0.034
Gizzard,N/A,2706165,30.2,2.66,0.0,153.0,0.0,0.0,17.0,3.16,3.0,188.0,178.0,363.0,4.38,0.16,40.8,0.0,0.2,0.0,0.0,0.026,0.208,3.1,0.07,5.0,1.03,0.0,367.0,0.665,0.0,0.524,0.35
Glug,N/A,2710698,0.1,0.14,6.24,96.0,4.15,0.1,9.0,0.47,12.0,23.0,125.0,4.0,0.15,0.016,0.2,0.0,0.0,0.0,0.0,0.006,0.031,0.224,0.056,1.0,0.0,0.4,0.0,0.098,0.0,0.012,0.001
"Gnocchi, cheese",N/A,2708721,8.51,12.0,9.38,178.0,0.14,0.2,169.0,0.86,12.0,144.0,83.0,263.0,1.0,0.03,13.3,132.0,0.84,0.7,0.0,0.081,0.171,0.548,0.026,20.0,0.31,7.0,68.0,4.34,0.001,4.47,2.17
"Gnocchi, potato",N/A,2708722,2.44,6.33,17.2,135.0,0.99,1.0,22.0,0.83,12.0,41.0,139.0,279.0,0.24,0.074,2.3,62.0,0.03,0.2,1.9,0.129,0.074,1.21,0.102,17.0,0.06,1.3,18.0,3.42,0.002,1.27,0.259
Goat,N/A,2705908,26.9,3.01,0.0,142.0,0.0,0.0,17.0,3.7,0.0,199.0,402.0,392.0,5.23,0.301,11.7,0.0,0.34,0.0,0.0,0.089,0.605,3.92,0.0,5.0,1.18,1.2,74.0,0.923,0.0,1.35,0.228
